timestamp,url,filepath,status,http_status,bytes,elapsed_ms
2025-10-14T18:03:20,https://www.drugs.com/alpha/condition/t,data/html_stranky\www.drugs.com_alpha_condition_t.html,ok,200,41170,700
2025-10-14T18:04:57,https://www.drugs.com/pill_identification.html,data/html_stranky\www.drugs.com_pill_identification.html,ok,200,37389,1166
2025-10-14T18:05:15,https://www.drugs.com/viagra.html,data/html_stranky\www.drugs.com_viagra.html,ok,200,72046,438
2025-10-14T18:05:32,https://www.drugs.com/keytruda.html,data/html_stranky\www.drugs.com_keytruda.html,ok,200,97504,475
2025-10-14T18:05:49,https://www.drugs.com/alpha/t.html,data/html_stranky\www.drugs.com_alpha_t.html,ok,200,40759,1001
2025-10-14T18:06:08,https://www.drugs.com/verzenio.html,data/html_stranky\www.drugs.com_verzenio.html,ok,200,82509,1419
2025-10-14T18:06:24,https://www.drugs.com/alpha/x.html,data/html_stranky\www.drugs.com_alpha_x.html,ok,200,39103,458
2025-10-14T18:06:44,https://www.drugs.com/epclusa.html,data/html_stranky\www.drugs.com_epclusa.html,ok,200,85452,1710
2025-10-14T18:07:01,https://www.drugs.com/support/terms.html,data/html_stranky\www.drugs.com_support_terms.html,ok,200,57488,813
2025-10-14T18:07:19,https://www.drugs.com/alpha/k.html,data/html_stranky\www.drugs.com_alpha_k.html,ok,200,39509,508
2025-10-14T18:07:36,https://www.drugs.com/alpha/condition/c,data/html_stranky\www.drugs.com_alpha_condition_c.html,ok,200,40975,874
2025-10-14T18:08:01,https://www.drugs.com/alpha/o.html,data/html_stranky\www.drugs.com_alpha_o.html,ok,200,40592,696
2025-10-14T18:08:20,https://www.drugs.com/mednotes,data/html_stranky\www.drugs.com_mednotes.html,ok,200,28334,836
2025-10-14T18:08:37,https://www.drugs.com/support/privacy.html,data/html_stranky\www.drugs.com_support_privacy.html,ok,200,53126,613
2025-10-14T18:08:53,https://www.drugs.com/inactive,data/html_stranky\www.drugs.com_inactive.html,ok,200,70818,1156
2025-10-14T18:09:11,https://www.drugs.com/wegovy.html,data/html_stranky\www.drugs.com_wegovy.html,ok,200,95715,511
2025-10-14T18:09:29,https://www.drugs.com/gabapentin.html,data/html_stranky\www.drugs.com_gabapentin.html,ok,200,88431,1070
2025-10-14T18:09:46,https://www.drugs.com/alpha/condition/f,data/html_stranky\www.drugs.com_alpha_condition_f.html,ok,200,39719,744
2025-10-14T18:10:03,https://www.drugs.com/alpha/condition/m,data/html_stranky\www.drugs.com_alpha_condition_m.html,ok,200,40810,518
2025-10-14T18:10:20,https://www.drugs.com/newdrugs/libtayo-cemiplimab-rwlc-approved-u-s-first-only-immunotherapy-adjuvant-cutaneous-squamous-cell-6636.html,data/html_stranky\www.drugs.com_newdrugs_libtayo-cemiplimab-rwlc-approved-u-s-first-only-immunotherapy-adjuvant-cutaneous-squamous-cell-6636.html,ok,200,68513,1197
2025-10-14T18:10:38,https://www.drugs.com/entyvio.html,data/html_stranky\www.drugs.com_entyvio.html,ok,200,89761,423
2025-10-14T18:12:43,https://www.drugs.com/botox.html,data/html_stranky\www.drugs.com_botox.html,ok,200,97903,31118
2025-10-14T18:13:01,https://www.drugs.com/alpha/u.html,data/html_stranky\www.drugs.com_alpha_u.html,ok,200,39143,2635
2025-10-14T18:13:19,https://www.drugs.com/feeds/headline_news.xml,,skip-nonhtml,200,22261,1277
2025-10-14T18:13:37,https://www.drugs.com/enhertu.html,data/html_stranky\www.drugs.com_enhertu.html,ok,200,81897,1291
2025-10-14T18:13:53,https://www.drugs.com/alpha/z.html,data/html_stranky\www.drugs.com_alpha_z.html,ok,200,39264,978
2025-10-14T18:14:10,https://www.drugs.com/restasis.html,data/html_stranky\www.drugs.com_restasis.html,ok,200,77096,1095
2025-10-14T18:14:28,https://www.drugs.com/reblozyl.html,data/html_stranky\www.drugs.com_reblozyl.html,ok,200,75679,670
2025-10-14T18:14:45,https://www.drugs.com/stelara.html,data/html_stranky\www.drugs.com_stelara.html,ok,200,108466,1278
2025-10-14T18:15:04,https://www.drugs.com/palsonify.html,data/html_stranky\www.drugs.com_palsonify.html,ok,200,58328,1461
2025-10-14T18:15:21,https://www.drugs.com/vabysmo.html,data/html_stranky\www.drugs.com_vabysmo.html,ok,200,75309,1610
2025-10-14T18:15:43,https://www.drugs.com/symptom-checker,data/html_stranky\www.drugs.com_symptom-checker.html,ok,200,46175,1605
2025-10-14T18:16:01,https://www.drugs.com/furosemide.html,data/html_stranky\www.drugs.com_furosemide.html,ok,200,78538,1110
2025-10-14T18:16:18,https://www.drugs.com/feeds/medical_news.xml,,skip-nonhtml,200,22024,840
2025-10-14T18:16:36,https://www.drugs.com/breztri-aerosphere.html,data/html_stranky\www.drugs.com_breztri-aerosphere.html,ok,200,84270,1303
2025-10-14T18:16:52,https://www.drugs.com/tremfya.html,data/html_stranky\www.drugs.com_tremfya.html,ok,200,89798,1493
2025-10-14T18:17:09,https://www.drugs.com/lyrica.html,data/html_stranky\www.drugs.com_lyrica.html,ok,200,76795,750
2025-10-14T18:17:27,https://www.drugs.com/alpha/b.html,data/html_stranky\www.drugs.com_alpha_b.html,ok,200,40327,948
2025-10-14T18:17:44,https://www.drugs.com/alpha/h.html,data/html_stranky\www.drugs.com_alpha_h.html,ok,200,39390,992
2025-10-14T18:18:00,https://www.drugs.com/alpha/l.html,data/html_stranky\www.drugs.com_alpha_l.html,ok,200,39797,1216
2025-10-14T18:18:28,https://www.drugs.com/papzimeos.html,,exception,,,
2025-10-14T18:18:33,https://www.drugs.com/papzimeos.html,,deferred,,,
2025-10-14T18:18:39,https://www.drugs.com/history/eydenzelt.html,,exception,,,
2025-10-14T18:18:44,https://www.drugs.com/history/eydenzelt.html,,deferred,,,
2025-10-14T18:18:44,https://www.drugs.com/farxiga.html,,exception,,,
2025-10-14T18:18:49,https://www.drugs.com/farxiga.html,,deferred,,,
2025-10-14T18:18:49,https://www.drugs.com/support/advertising.html,,exception,,,
2025-10-14T18:18:54,https://www.drugs.com/support/advertising.html,,deferred,,,
2025-10-14T18:18:54,https://www.drugs.com/drug_information.html,,exception,,,
2025-10-14T18:18:59,https://www.drugs.com/drug_information.html,,deferred,,,
2025-10-14T18:18:59,https://www.drugs.com/imbruvica.html,,exception,,,
2025-10-14T18:19:04,https://www.drugs.com/imbruvica.html,,deferred,,,
2025-10-14T18:19:04,https://www.drugs.com/news/new-approach-targets-social-skills-help-schizophrenia-patients-heal-127083.html,,exception,,,
2025-10-14T18:19:09,https://www.drugs.com/news/new-approach-targets-social-skills-help-schizophrenia-patients-heal-127083.html,,deferred,,,
2025-10-14T18:19:09,https://www.drugs.com/lybalvi.html,,exception,,,
2025-10-14T18:19:14,https://www.drugs.com/lybalvi.html,,deferred,,,
2025-10-14T18:19:14,https://www.drugs.com/bundle/css/section/ddc-section-home.min.54e69261.css,,exception,,,
2025-10-14T18:19:19,https://www.drugs.com/bundle/css/section/ddc-section-home.min.54e69261.css,,deferred,,,
2025-10-14T18:19:19,https://www.drugs.com/ozempic.html,,exception,,,
2025-10-14T18:19:24,https://www.drugs.com/ozempic.html,,deferred,,,
2025-10-14T18:19:24,https://www.drugs.com/cabenuva.html,,exception,,,
2025-10-14T18:19:29,https://www.drugs.com/cabenuva.html,,deferred,,,
2025-10-14T18:21:53,https://www.drugs.com/newdrugs/fda-approves-lasix-onyu-furosemide-edema-heart-failure-6635.html,data/html_stranky\www.drugs.com_newdrugs_fda-approves-lasix-onyu-furosemide-edema-heart-failure-6635.html,ok,200,51866,5606
2025-10-14T18:22:11,https://www.drugs.com/availability,data/html_stranky\www.drugs.com_availability.html,ok,200,38166,527
2025-10-14T18:22:28,https://www.drugs.com/repatha.html,data/html_stranky\www.drugs.com_repatha.html,ok,200,93058,1465
2025-10-14T18:22:47,https://www.drugs.com/ppa,data/html_stranky\www.drugs.com_ppa.html,ok,200,51610,1041
2025-10-14T18:23:04,https://www.drugs.com/alpha/g.html,data/html_stranky\www.drugs.com_alpha_g.html,ok,200,39644,515
2025-10-14T18:23:56,https://www.drugs.com/atorvastatin.html,data/html_stranky\www.drugs.com_atorvastatin.html,ok,200,75094,659
2025-10-14T18:24:13,https://www.drugs.com/vumerity.html,data/html_stranky\www.drugs.com_vumerity.html,ok,200,69164,798
2025-10-14T18:24:31,https://www.drugs.com/alpha/condition/h,data/html_stranky\www.drugs.com_alpha_condition_h.html,ok,200,40766,662
2025-10-14T18:24:49,https://www.drugs.com/alpha/c.html,data/html_stranky\www.drugs.com_alpha_c.html,ok,200,40150,1412
2025-10-14T18:25:04,https://www.drugs.com/account/register,,http-error,403,,426
2025-10-14T18:25:06,https://www.drugs.com/account/register,,deferred,,,
2025-10-14T18:25:07,https://www.drugs.com/alpha/condition/s,data/html_stranky\www.drugs.com_alpha_condition_s.html,ok,200,41635,503
2025-10-14T18:25:24,https://www.drugs.com/semaglutide.html,data/html_stranky\www.drugs.com_semaglutide.html,ok,200,104175,826
2025-10-14T18:25:41,https://www.drugs.com/oxycodone.html,data/html_stranky\www.drugs.com_oxycodone.html,ok,200,89336,1207
2025-10-14T18:25:59,https://www.drugs.com/venclexta.html,data/html_stranky\www.drugs.com_venclexta.html,ok,200,82212,745
2025-10-14T18:26:15,https://www.drugs.com/bundle/css/component/component-card.min.334e227e.css,,skip-nonhtml,200,1193,357
2025-10-14T18:28:03,https://www.drugs.com/austedo.html,data/html_stranky\www.drugs.com_austedo.html,ok,200,82959,859
2025-10-14T18:28:21,https://www.drugs.com/search_advanced.html,data/html_stranky\www.drugs.com_search_advanced.html,ok,200,34048,721
2025-10-14T18:28:38,https://www.drugs.com/bundle/css/component/component-paging.min.2c923456.css,,skip-nonhtml,200,1869,446
2025-10-14T18:28:55,https://www.drugs.com/leqvio.html,data/html_stranky\www.drugs.com_leqvio.html,ok,200,76760,705
2025-10-14T18:29:14,https://www.drugs.com/imprints.html,data/html_stranky\www.drugs.com_imprints.html,ok,200,60692,1732
2025-10-14T18:29:36,https://www.drugs.com/penicillin.html,data/html_stranky\www.drugs.com_penicillin.html,ok,200,69249,4136
2025-10-14T18:29:55,https://www.drugs.com/compare,data/html_stranky\www.drugs.com_compare.html,ok,200,35839,812
2025-10-14T18:30:13,https://www.drugs.com/lexapro.html,data/html_stranky\www.drugs.com_lexapro.html,ok,200,82176,1611
2025-10-14T18:30:29,https://www.drugs.com/img/logo/favicon/ddc-icon-16x16.png,,skip-nonhtml,200,624,478
2025-10-14T18:30:48,https://www.drugs.com/alpha/condition/w,data/html_stranky\www.drugs.com_alpha_condition_w.html,ok,200,38500,1288
2025-10-14T18:31:30,https://www.drugs.com/sildenafil.html,data/html_stranky\www.drugs.com_sildenafil.html,ok,200,69838,2079
2025-10-14T18:31:48,https://www.drugs.com/alpha/condition/g,data/html_stranky\www.drugs.com_alpha_condition_g.html,ok,200,40621,533
2025-10-14T18:32:06,https://www.drugs.com/vraylar.html,data/html_stranky\www.drugs.com_vraylar.html,ok,200,83142,1412
2025-10-14T18:32:22,https://www.drugs.com/alpha/condition/l,data/html_stranky\www.drugs.com_alpha_condition_l.html,ok,200,39867,741
2025-10-14T18:32:38,https://www.drugs.com/clinical_trials/astellas-confirms-phase-2-gleam-trial-did-not-meet-primary-endpoint-overall-survival-patients-22199.html,data/html_stranky\www.drugs.com_clinical_trials_astellas-confirms-phase-2-gleam-trial-did-not-meet-primary-endpoint-overall-survival-patients-22199.html,ok,200,45617,856
2025-10-14T18:32:57,https://www.drugs.com/fasenra.html,data/html_stranky\www.drugs.com_fasenra.html,ok,200,71261,1049
2025-10-14T18:33:17,https://www.drugs.com/prozac.html,data/html_stranky\www.drugs.com_prozac.html,ok,200,82824,3228
2025-10-14T18:33:33,https://www.drugs.com/news/universal-free-school-meals-tied-better-blood-pressure-127080.html,data/html_stranky\www.drugs.com_news_universal-free-school-meals-tied-better-blood-pressure-127080.html,ok,200,39909,745
2025-10-14T18:33:52,https://www.drugs.com/alpha/condition/n,data/html_stranky\www.drugs.com_alpha_condition_n.html,ok,200,39934,1243
2025-10-14T18:34:08,https://www.drugs.com/cons,data/html_stranky\www.drugs.com_cons.html,ok,200,39431,849
2025-10-14T18:34:38,https://www.drugs.com/support/editorial_policy.html,data/html_stranky\www.drugs.com_support_editorial_policy.html,ok,200,49483,1531
2025-10-14T18:34:55,https://www.drugs.com/fda/fda-approves-labeling-changes-include-boxed-warning-immune-effector-cell-associated-enterocolitis-14768.html,data/html_stranky\www.drugs.com_fda_fda-approves-labeling-changes-include-boxed-warning-immune-effector-cell-associated-enterocolitis-14768.html,ok,200,37394,1328
